asset_id,video_title
2b78f89a-8fd0-4b89-9fd6-20c5c3bb2c68,Anarchy in the Suburbs
92512c13-6c88-49cf-b299-7b051a54a037,Punks Not Dead
edf0f8b7-7940-4f95-80e1-d651a4f4b7e5,Chaos and Disorder
a0bda891-6a82-47e2-a1d7-38c537b8024e,Rise Against
41a573e6-5314-4d4a-8f8a-8375103b0b8d,Revolt
e31a6da0-0839-49c7-b795-946a4290c884,Smash the Status Quo
6d06c768-10d8-4d90-af2e-1b70c33f9e11,No Future
b76c1fe1-f5b1-4ae5-ba53-4097e3ae9a3b,DIY Rebellion
ee8f802a-cb48-48a3-948d-5e0c4ad8d7b3,Riot Generation
e07ef4f8-c0b3-453b-b640-f67a3172ec64,Suburban Rebels
65e768f7-7d57-4c71-bfe6-7d7291f7ecf1,Destroy the System
2c78a5c3-87a7-43b1-8ef6-cd5cf94b62b7,Raise Hell
8ad91da0-cd2c-460b-96c5-66f853fa1ba9,Punk Revolution
6fc4682f-c1d7-4697-9306-5e4f624cc18f,Outsider Anthem
b29a5225-8e3b-4299-8a1d-5d59fe50a3df,Anarchy in the Streets
1e2b36f8-509d-4d5c-bf3f-860ed6df8b50,Rebel Without a Cause
a8f6cf7d-39bc-4641-8a79-d7dc3b45392f,Fight Back
b53b6d8d-5370-460d-800a-14fe757b693b,Revolutionary Spirit
1e18eb92-9f95-45e8-b91c-5b38f58279d1,Anti-Establishment
b5462b9e-2b11-4328-88d8-cdf6b961f485,Suburban Anarchy
5b1de418-16c8-4035-ae14-2d64f500f17a,Punk Resistance
f63c9e1d-19d5-4c40-96ed-748794a80c89,System Collapse
799b67b2-f292-4d3e-934e-597fc9d68c7a,Do It Yourself Revolution
3ef5c5c5-53b2-4796-bc2d-9c3e876b91b2,Disrupt the Norm
9a5e4189-4d7f-45fd-9be4-0dcff23a37c4,Anarchy in the City
aebe1d6a-f340-4678-9218-36a119d17491,Smash Everything
d1f3f9e4-4b25-4c1d-a004-17a9c5dc5dcb,Chaos and Anarchy
a3747d06-71df-44b8-9de2-03a693cd2f38,Punk Fury
d9f203d3-7991-4a1a-8e91-9c16a10f305a,Revolutionary Chaos
c5f396fb-0444-46f0-b4db-f84905e3db88,Anarchy in Action
2e342586-613b-4de8-b3f8-31df0f4b08a7,Riot Squad
23b8af58-2a7d-4d89-97b8-6476e16508b6,DIY or Die Trying
fc18b77e-b0b7-4219-8e20-71daa2ef4ef8,Anarchist Anthem
1b18a11e-77b0-4976-aac1-b87b0c06ed57,Break the Chains
7c4d3c4d-f057-4c36-bd70-7d0878b7d6cd,"Raise Hell, Raise Awareness"
d0c12b9f-0d1e-47f5-a85e-4892d725b8b8,Rebel Riot
6b1a69ef-b183-46f3-8775-f61fbc9c517d,Rise Against Authority
92f4cbb0-e1f4-4fe3-aef3-3b70ff95b4f4,Chaos Reigns
dc29235d-695f-4605-8e18-3b43a3a6da5e,Street Rebellion
9f728dd6-0fc4-413f-a35c-d81ee21de366,"No Rules, No Masters"
3f2203f7-c6a1-47dc-a8d0-270946a4da1c,Rise Up
d7d32062-8f0d-4fd0-8256-7cdcbfd8b15d,Suburban Chaos
1861fb8d-d21e-4561-a810-8b92f993e059,Riot Generation
6938a72c-8314-4380-9b6b-7989f51826b3,Anarchist Uprising
e6b4e695-0da8-40d2-8e28-e54f90570c82,Rebel Yell
7f9b107d-14ef-4f9e-9e2c-9e3d8a95e89e,Punks Never Die
0bc8e5a2-37bb-40d5-bfcf-1b1cf0b1d861,Revolutionary Spirit
84e3f488-79e8-48f5-9823-7a03494f7767,Chaos and Disorder
53d39f4c-6d28-478d-b57b-cdc70233d73c,Smash Everything
42b8d670-5b2b-4946-8043-1acbb622fc3e,Suburban Chaos
95b93da6-fbfc-4b23-9a4f-9e2228fa0d16,Anarchy in the City
a0ab8759-c121-4694-9e16-3d1b8a6363f5,Rise Against
d16440db-1e15-4b6f-99f7-f46f21b6d1d6,Break the Chains
d54d4d24-776e-4d42-b098-961e4b0136f4,Punk Uprising
6aaf35aa-5d47-4439-9e6e-af3cb0c05cb2,Riot Squad
56da84c7-f9cb-46a1-a8b4-7862c78bd2f7,Revolutionary Chaos
b03f525e-0853-4326-b1c0-3f12321443b1,DIY Revolution
46b9470c-cd20-4e1e-bd22-b06645aa1b24,Punk Revolution
7cbf71d6-0ae4-4b70-a2b8-48f99c41d71b,Chaos Reigns
edcfe7ab-b947-4744-8257-7c8d7739a5c1,Anarchy in Action
33d7c424-e791-4d7c-8968-94922c3fa6a6,Rise Up
6ef36efb-4c2e-4b24-8239-f4b9d0c8e0e1,Suburban Anarchy
d6a1b55f-6179-4d6b-b30a-926d203dbb47,Anarchist Anthem
118ab78e-e44e-4812-bce3-32f4eb6015c5,No Future
5c8c107e-4057-4392-ba0e-9352d10c97da,Revolt Against the System
0d4aa590-72b0-4c46-9c30-58bc5c295fc0,Chaos and Anarchy
f58c3030-cf77-46b2-82d8-d334e349a2a4,Anarchy Reigns
d2658a94-8f20-4e6c-ae68-5aa482a67d7e,Street Rebellion
ab14f9a9-6545-4bdf-92fb-5e1a2de2a7f7,Revolutionary Spirit
6d6a501e-13be-4de5-9ebd-8d84975013d5,Punks Not Dead
5c88af75-32d7-4b5f-af99-3d79277d5dc7,Rebel Without a Cause
f3deab88-fbbb-44ac-9d0f-38bfa5efdcf1,Anarchy in the Streets
e9df5fa1-2f0d-4c8e-93c0-8a108a76c108,Rise Against Authority
8c3842e4-02e9-4042-8c26-0b1539f58622,Chaos and Disorder
3815f8e5-35b5-4fa7-8e01-fb5cf8dce8c7,Revolutionary Chaos
594b8c1d-5c6e-40a4-b369-dc296b994839,DIY Revolution
a2a8682f-5ecf-4c99-b16f-d8308b7d4a5e,Break the Chains
cba4701e-9d14-45f6-8217-6a01d30c0580,"No Gods, No Masters"
cd2063bb-35aa-46dc-9a6f-99dd56a4aadd,Rebel Riot
b6e8a240-cb1a-47e0-8b3a-8bc3e67a85b4,Smash Everything
a0f788f5-f028-49d8-b8a6-37fb66c0f71b,Suburban Chaos
252dca80-f08b-4721-8a1b-725b1fd892e6,Anarchy in the City
49e5dc62-8d18-45f2-b9c2-8b719de284b1,Chaos Reigns
2b1f1e1c-b52d-49a9-b7de-4ff87257a9fb,Riot Generation
b7779e2b-2147-471a-bb0c-0bcf14d123e4,Anarchy in Action
e8f518f2-0ff0-4db7-ae5a-e36fffd6723a,Revolt Against the System
312c8efb-d2e2-49e1-ae76-d0f3f5e5f375,Punks Never Die
97e3186d-715f-46c1-b9fd-ff6e52799fa3,DIY or Die Trying
edf87cf1-3f0b-4b64-8973-c138d61401e0,Revolutionary Spirit
8af5c6cf-0409-4340-85eb-49a47f44b231,Chaos and Anarchy
d2ab7df0-5eef-4c2b-9d25-09e98d9c2ba2,Street Rebellion
dab5c3e2-9374-46b5-8ac7-9b4e1e735a22,Anarchist Anthem
a7cf947a-d08f-4ac2-bda0-3188a6a5f27f,Rise Up
cdebf27b-3c9d-43f8-aedb-5732c38f1e5e,Punk Revolution
22e12409-08a6-4d9d-bf1b-0a39f2c07863,No Future
b5fd99f6-7a3b-4a3c-a5ab-5df21cd9d3a0,Rebel Yell
6edf1579-aa1c-4ff9-b0e3-52f43e6f87de,Suburban Anarchy
c8740e47-1f33-4ef7-810e-69306d93c15d,Fight Back
9ddaf20d-f48d-4b6c-8f71-6f0d78c7c40e,Destroy the System
7d494a92-b6b3-477b-bc89-c39c63457a50,Riot Squad
9b63a937-8d49-42b4-b9cf-fb0d8bf4d1ee,"Raise Hell, Raise Awareness"
